district_name,parish_name,village_name,group_name,group_enterprise,farmer_id,farmer_name,gender,age,category,handicapped,nationality,pdc_village_verification,pdc_enterprise_verification_individual,pdc_enterprise_verification,group_pdc_village_ok,group_has_non_ugandan,pdc_group_approved,conforms_to_rule,group_funded_by_pdm,fund_amount_received,total_amount_due,repayment_type,Q1_payment,Q2_payment,Q3_payment,Q4_payment,total_repaid,outstanding_balance,repayment_time_months,repayment_rate,disqualification_reason
Cavendish District,Parish_01,Village_01_1,Group_01_1_01,Mixed,CAV-000001,Paul Okello,Male,63,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_1,Group_01_1_01,Mixed,CAV-000002,Michael Namusoke,Male,23,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_1,Group_01_1_01,Mixed,CAV-000003,Lilian Kibedi,Female,33,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Delayed,0,530000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_1,Group_01_1_01,Mixed,CAV-000004,Esther Ssembatya,Female,49,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_1,Group_01_1_01,Mixed,CAV-000005,Patrick Nabukenya,Male,22,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_1,Group_01_1_01,Mixed,CAV-000006,Mercy Ssali,Female,25,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_1,Group_01_1_01,Mixed,CAV-000007,Sarah Nabukenya,Female,43,Women,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Defaulted,265000,265000,0,0,530000,530000,12,0.5,
Cavendish District,Parish_01,Village_01_1,Group_01_1_01,Mixed,CAV-000008,Daniel Byaruhanga,Male,20,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_1,Group_01_1_01,Mixed,CAV-000009,Michael Ssali,Male,70,Elderly,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Irregular,106000,212000,318000,424000,1060000,0,12,1.0,
Cavendish District,Parish_01,Village_01_1,Group_01_1_01,Mixed,CAV-000010,Joy Kakande,Female,18,Youth,No,Ugandan,Yes,Yes,Yes,Yes,No,Yes,No,Yes,1000000,1060000,Perfect,265000,265000,265000,265000,1060000,0,12,1.0,
